english,urdu
"Moving on to the second question, we are of the view that i n order to ascertain the legal effect of the Addendum Notification on the subsequent acquisition proceedings, particularly on the determination of compensation , it is necessary to understand the significance of the notification under Section 4 of the Act in terms of the land notified thereunder .",دوسرے سوال کی طرف بڑھتے ہوئے، ہمارا خیال ہے کہ حصول کے بعد کی کارروائی پر ضمیمہ نوٹیفکیشن کے قانونی اثر کا پتہ لگانے کے لیے، خاص طور پر معاوضے کے تعین پر، ایکٹ کے سیکشن 4 کے تحت نوٹیفکیشن کی اہمیت کو سمجھنا ضروری ہے۔
"Section 4 of the Act provides for the initiation of the acquisition process through publi cation of a preliminary notification in the official Gazette , notifying the land that is needed or likely to be needed for any public purpose or for a company .",ایکٹ کا سیکشن 4 سرکاری گزٹ میں ایک ابتدائی نوٹیفکیشن کے پبلک کیشن کے ذریعے حصول کے عمل کو شروع کرنے کے لیے فراہم کرتا ہے، اس زمین کو مطلع کرتا ہے جس کی کسی عوامی مقصد کے لیے یا کسی کمپنی کے لیے ضرورت ہے یا اس کی ضرورت ہے۔
"Thereafter, either of two routes (normal or urgent) leading up to a declaration under Section 6 can be adopted, which, as per Section 6(3), is conclusive evidence that the land is needed for a public purpose , or for a company, and the CP-1441/2021 etc .",اس کے بعد، سیکشن 6 کے تحت اعلامیہ تک لے جانے والے دو راستوں میں سے کوئی بھی (عام یا فوری) اختیار کیا جا سکتا ہے، جو سیکشن 6(3) کے مطابق اس بات کا حتمی ثبوت ہے کہ زمین کی ضرورت عوامی مقصد، یا کمپنی کے لیے ہے، اور CP-1441/2021 وغیرہ۔
8 Commissioner can then acquire the land in the manner provided thereafter in the Act.,8 کمشنر اس کے بعد ایکٹ میں فراہم کردہ طریقے سے زمین حاصل کر سکتا ہے۔
"Firstly, after a certain land in a locality is notified through a notification under Section 4 of the Act, following the normal route the Commissione r issue s a notification under Section 5 specifying the particular land of that locality to be acquired as included in the locality already notified under Section 4 .",سب سے پہلے، ایکٹ کے سیکشن 4 کے تحت کسی علاقے میں کسی مخصوص اراضی کو ایک نوٹیفکیشن کے ذریعے مطلع کرنے کے بعد، عام راستے پر چلتے ہوئے کمشنر سیکشن 5 کے تحت ایک نوٹیفکیشن جاری کرتا ہے جس میں اس علاقے کی مخصوص اراضی کی وضاحت کی جاتی ہے جیسا کہ پہلے ہی سیکشن 4 کے تحت مطلع شدہ محلے میں شامل ہے۔
"Thereafter, under Section 5-A, any persons interested in that land can file objections to its acquisition before the Collector within 30 days after the issuance of the notification under Section 5.",اس کے بعد، سیکشن 5-A کے تحت، اس اراضی میں دلچسپی رکھنے والا کوئی بھی شخص سیکشن 5 کے تحت نوٹیفکیشن جاری ہونے کے 30 دنوں کے اندر کلکٹر کے سامنے اس کے حصول پر اعتراضات درج کر سکتا ہے۔
"Under sub-section (2) of Section 5-A, the Collector is to provide an opportunity of hearing to any such objector and af ter making such further inquiry, if any, as he thinks necessary, he is to submit the case for decision of the Commissioner, together with the record of the proceedings held by him and a report containing his recommendations on the objections.",سیکشن 5-A کی ذیلی دفعہ (2) کے تحت، کلکٹر کو ایسے کسی اعتراض کنندہ کو سماعت کا موقع فراہم کرنا ہے اور اس طرح کی مزید انکوائری کرنے کے بعد، اگر وہ ضروری سمجھتا ہے، تو وہ کمشنر کے فیصلے کے لیے کیس، اس کے پاس کی گئی کارروائی کے ریکارڈ اور اعتراضات پر اس کی سفارشات پر مشتمل ایک رپورٹ کے ساتھ جمع کرائے گا۔
"When the Comm issioner is satisfied, after considering the report, if any, made by the Collector under sub-section (2) of Section 5-A, that any land is needed for a public purpose , or for a company , he makes a declaration to this effect under Section 6 of the Act, which declaration is then published in the official Gazette.",سیکشن 5-A کے ذیلی سیکشن (2) کے تحت کلکٹر کی طرف سے دی گئی رپورٹ پر غور کرنے کے بعد، جب کمیشنر مطمئن ہو جاتا ہے، کہ عوامی مقصد کے لیے یا کسی کمپنی کے لیے کسی بھی زمین کی ضرورت ہے، تو وہ ایکٹ کے سیکشن 6 کے تحت اس سلسلے میں ایک اعلان کرتا ہے، جسے پھر سرکاری گزٹ میں شائع کیا جاتا ہے۔
"Notably, Section 6(4) of the Act also stipulates that where the area of the land in the said declaration is less than the area of land previously notified under Section 4, then such previous notification, so far as it relates to the excess area, shall be deemed to have been superseded by the said declaration.",قابل ذکر بات یہ ہے کہ ایکٹ کی دفعہ 6(4) میں یہ بھی کہا گیا ہے کہ جہاں مذکورہ اعلامیہ میں اراضی کا رقبہ سیکشن 4 کے تحت پہلے سے مطلع کردہ اراضی کے رقبے سے کم ہے، تو اس طرح کے سابقہ ​​نوٹیفکیشن، جہاں تک اس کا تعلق زیادہ رقبہ سے ہے، کو مذکورہ اعلامیہ کے ذریعے ختم کر دیا گیا سمجھا جائے گا۔
"Thus , a notification under Section 5 can only be issued in relation to the land that has been previously notified under Section 4, and it also appears that a final declaration under Section 6 can also be issued only with regard s to the la nd that has been previously notified under Section 4 of the Act .",اس طرح، سیکشن 5 کے تحت ایک نوٹیفکیشن صرف اس زمین کے سلسلے میں جاری کیا جا سکتا ہے جو پہلے سیکشن 4 کے تحت مطلع کیا جا چکا ہے، اور یہ بھی ظاہر ہوتا ہے کہ سیکشن 6 کے تحت حتمی اعلامیہ بھی صرف اس قانون کے حوالے سے جاری کیا جا سکتا ہے جو ایکٹ کے سیکشن 4 کے تحت پہلے مطلع کیا گیا ہے۔
The urgent route is adopted through the issuance of a notification under Section 17(4) of the Act .,ایکٹ کی دفعہ 17(4) کے تحت ایک نوٹیفکیشن کے اجراء کے ذریعے فوری راستہ اختیار کیا جاتا ہے۔
"Under this Section, the Commissioner can dispense with the applicability of the provisions of Section s 5 and 5 -A if he is of the opinion tha t the land is urgently required and can make a final declaration under Section 6 at any time after the publication of the notification under Section 4 .",اس سیکشن کے تحت، کمشنر سیکشن 5 اور 5 -A کی دفعات کے قابل اطلاق ہونے کی صورت میں یہ رائے دے سکتا ہے کہ زمین کی فوری ضرورت ہے اور وہ دفعہ 4 کے تحت نوٹیفکیشن کی اشاعت کے بعد کسی بھی وقت سیکشن 6 کے تحت حتمی اعلان کر سکتا ہے۔
"This also makes it apparent that where a notification under Section 17(4) is issued, it shall be with regards to the land already notified under Section 4, after which a formal declaration can be issued under Section 6 of the Act at any time .",اس سے یہ بھی ظاہر ہوتا ہے کہ جہاں سیکشن 17(4) کے تحت ایک نوٹیفکیشن جاری کیا جاتا ہے، وہ سیکشن 4 کے تحت پہلے سے مطلع شدہ زمین کے حوالے سے ہوگا، جس کے بعد کسی بھی وقت ایکٹ کے سیکشن 6 کے تحت باضابطہ اعلامیہ جاری کیا جا سکتا ہے۔
"In view of the above, it is evident that the acquisition process cannot be initiated, formalized and then concluded unless a notification under Section 4 of the Act notifying the complete and final land to be acquired is issued.",مندرجہ بالا کے پیش نظر، یہ واضح ہے کہ حصول کا عمل شروع نہیں کیا جا سکتا، رسمی شکل دی جا سکتی ہے اور پھر اسے ختم نہیں کیا جا سکتا جب تک کہ ایکٹ کے سیکشن 4 کے تحت ایک نوٹیفکیشن جاری نہیں کیا جاتا جس میں مکمل اور حتمی زمین حاصل کی جانی تھی۔
"Hence, it follows that the date of the notification issued under Section 4 will not necessarily be the date of the first notification issued under the said provision, instead, it will be whenever the complete and final land is notified.",لہذا، یہ مندرجہ ذیل ہے کہ سیکشن 4 کے تحت جاری کردہ نوٹیفکیشن کی تاریخ ضروری نہیں کہ مذکورہ شق کے تحت جاری ہونے والے پہلے نوٹیفکیشن کی تاریخ ہو، اس کے بجائے، جب بھی مکمل اور حتمی زمین کی اطلاع دی جائے گی۔
"In instances where addendums or corrigenda to a notification under Section 4 are issued, the indicator of the finality of the land no tified would be when, after the issuance of an addendum or corrigendum, the public functionaries move forward with the acquisition proceedings by either issuing a notification under Section 5 or under Section 17(4) of the Act.",ایسی صورتوں میں جہاں سیکشن 4 کے تحت نوٹیفکیشن میں ضمیمہ یا کوریجنڈا جاری کیا جاتا ہے، زمین کی حتمییت کا اشارہ اس وقت ہوگا جب کوئی ضمیمہ یا کوریجنڈم جاری ہونے کے بعد، عوامی کارکنان یا تو سیکشن 5 کے تحت یا ایکٹ (4) کے سیکشن 4 کے تحت ایک نوٹیفکیشن جاری کرکے حصول کی کارروائی کے ساتھ آگے بڑھتے ہیں۔
